3.59, 3.5900, 8.92, 8.91, -0.04, -0.00, 0.00
3.60, 0.0070, 8.92, 8.91, -0.04, -0.00, 108.26
3.61, 0.0060, 8.92, 8.91, -0.04, -0.00, 108.26
3.61, 0.0060, 8.92, 8.91, -0.04, -0.00, 108.26
3.62, 0.0070, 8.92, 8.91, -0.04, -0.00, 108.26
3.63, 0.0060, 8.92, 8.91, -0.04, 0.01, 108.26
3.63, 0.0070, 8.92, 8.91, -0.04, 0.04, 108.26
3.64, 0.0060, 8.92, 8.91, -0.04, 0.03, 108.27
3.65, 0.0070, 8.92, 8.91, -0.04, -0.10, 108.27
3.65, 0.0060, 8.92, 8.91, -0.04, -0.53, 108.26
3.66, 0.0070, 8.92, 8.90, -0.04, -1.31, 108.19
3.66, 0.0060, 8.92, 8.89, -0.04, -2.46, 108.01
3.67, 0.0060, 8.92, 8.86, -0.04, -3.81, 107.71
3.68, 0.0080, 8.92, 8.82, -0.04, -5.13, 107.26
3.68, 0.0060, 8.92, 8.78, -0.04, -6.26, 106.44
3.69, 0.0060, 8.92, 8.74, -0.04, -7.02, 105.68
3.70, 0.0070, 8.92, 8.69, -0.04, -7.50, 104.84
3.70, 0.0060, 8.92, 8.64, -0.04, -7.80, 103.79
3.71, 0.0060, 8.92, 8.59, -0.04, -8.14, 102.86
3.72, 0.0080, 8.92, 8.52, -0.04, -8.91, 101.88
3.72, 0.0060, 8.92, 8.46, -0.04, -10.21, 100.45
3.73, 0.0060, 8.92, 8.39, -0.04, -11.93, 99.23
3.74, 0.0070, 8.92, 8.29, -0.04, -13.75, 97.80
3.74, 0.0060, 8.92, 8.20, -0.04, -15.38, 95.87
3.75, 0.0070, 8.92, 8.08, -0.04, -16.81, 94.03
3.76, 0.0060, 8.92, 7.98, -0.04, -18.02, 91.67
3.76, 0.0070, 8.92, 7.84, -0.04, -19.13, 89.51
3.77, 0.0070, 8.92, 7.70, -0.04, -20.25, 86.83
3.78, 0.0060, 8.92, 7.57, -0.04, -21.53, 84.00
3.78, 0.0060, 8.92, 7.43, -0.04, -22.93, 81.41
3.79, 0.0070, 8.92, 7.26, -0.04, -24.35, 78.66
3.80, 0.0060, 8.92, 7.11, -0.04, -25.54, 75.25
3.80, 0.0080, 8.92, 6.90, -0.04, -26.55, 72.19
3.81, 0.0060, 8.92, 6.73, -0.04, -27.49, 67.94
3.82, 0.0060, 8.92, 6.56, -0.04, -28.69, 64.64
3.82, 0.0070, 8.92, 6.35, -0.04, -30.23, 61.20
3.83, 0.0060, 8.92, 6.16, -0.04, -31.87, 56.97
3.83, 0.0070, 8.92, 5.92, -0.04, -33.29, 53.14
3.84, 0.0060, 8.92, 5.72, -0.04, -34.29, 48.48
3.85, 0.0070, 8.92, 5.48, -0.04, -34.62, 44.37
3.85, 0.0070, 8.92, 5.24, -0.04, -34.38, 39.52
3.86, 0.0060, 8.92, 5.03, -0.04, -33.81, 34.71
3.87, 0.0060, 8.92, 4.83, -0.04, -33.35, 30.65
3.87, 0.0070, 8.92, 4.60, -0.04, -33.13, 26.65
3.88, 0.0060, 8.92, 4.40, -0.04, -33.25, 22.01
3.89, 0.0080, 8.92, 4.13, -0.04, -33.61, 18.02
3.89, 0.0060, 8.92, 3.93, -0.04, -34.04, 12.64
3.90, 0.0060, 8.92, 3.72, -0.04, -34.41, 8.55
3.91, 0.0070, 8.92, 3.48, -0.04, -34.61, 4.42
3.91, 0.0060, 8.92, 3.27, -0.04, -34.39, -0.42
3.92, 0.0060, 8.92, 3.07, -0.04, -33.70, -4.55
3.93, 0.0070, 8.92, 2.84, -0.04, -32.60, -8.59
